country	year	low	high	width	share	cumul	# sptinc992j
BH	2015	0.00000	0.01000	0.01000	0.00081	0.00081
BH	2015	0.01000	0.02000	0.01000	0.00114	0.00195
BH	2015	0.02000	0.03000	0.01000	0.00132	0.00327
BH	2015	0.03000	0.04000	0.01000	0.00149	0.00476
BH	2015	0.04000	0.05000	0.01000	0.00161	0.00637
BH	2015	0.05000	0.06000	0.01000	0.00173	0.00810
BH	2015	0.06000	0.07000	0.01000	0.00180	0.00990
BH	2015	0.07000	0.08000	0.01000	0.00185	0.01175
BH	2015	0.08000	0.09000	0.01000	0.00189	0.01363
BH	2015	0.09000	0.10000	0.01000	0.00193	0.01556
BH	2015	0.10000	0.11000	0.01000	0.00197	0.01753
BH	2015	0.11000	0.12000	0.01000	0.00200	0.01953
BH	2015	0.12000	0.13000	0.01000	0.00204	0.02157
BH	2015	0.13000	0.14000	0.01000	0.00208	0.02365
BH	2015	0.14000	0.15000	0.01000	0.00212	0.02577
BH	2015	0.15000	0.16000	0.01000	0.00217	0.02794
BH	2015	0.16000	0.17000	0.01000	0.00221	0.03015
BH	2015	0.17000	0.18000	0.01000	0.00225	0.03240
BH	2015	0.18000	0.19000	0.01000	0.00230	0.03470
BH	2015	0.19000	0.20000	0.01000	0.00234	0.03705
BH	2015	0.20000	0.21000	0.01000	0.00239	0.03944
BH	2015	0.21000	0.22000	0.01000	0.00243	0.04187
BH	2015	0.22000	0.23000	0.01000	0.00248	0.04435
BH	2015	0.23000	0.24000	0.01000	0.00253	0.04688
BH	2015	0.24000	0.25000	0.01000	0.00258	0.04946
BH	2015	0.25000	0.26000	0.01000	0.00263	0.05210
BH	2015	0.26000	0.27000	0.01000	0.00270	0.05479
BH	2015	0.27000	0.28000	0.01000	0.00277	0.05756
BH	2015	0.28000	0.29000	0.01000	0.00285	0.06041
BH	2015	0.29000	0.30000	0.01000	0.00294	0.06335
BH	2015	0.30000	0.31000	0.01000	0.00303	0.06638
BH	2015	0.31000	0.32000	0.01000	0.00313	0.06952
BH	2015	0.32000	0.33000	0.01000	0.00324	0.07275
BH	2015	0.33000	0.34000	0.01000	0.00333	0.07609
BH	2015	0.34000	0.35000	0.01000	0.00341	0.07950
BH	2015	0.35000	0.36000	0.01000	0.00348	0.08299
BH	2015	0.36000	0.37000	0.01000	0.00356	0.08654
BH	2015	0.37000	0.38000	0.01000	0.00363	0.09017
BH	2015	0.38000	0.39000	0.01000	0.00371	0.09388
BH	2015	0.39000	0.40000	0.01000	0.00379	0.09767
BH	2015	0.40000	0.41000	0.01000	0.00387	0.10154
BH	2015	0.41000	0.42000	0.01000	0.00397	0.10551
BH	2015	0.42000	0.43000	0.01000	0.00407	0.10958
BH	2015	0.43000	0.44000	0.01000	0.00415	0.11373
BH	2015	0.44000	0.45000	0.01000	0.00422	0.11795
BH	2015	0.45000	0.46000	0.01000	0.00430	0.12224
BH	2015	0.46000	0.47000	0.01000	0.00438	0.12663
BH	2015	0.47000	0.48000	0.01000	0.00448	0.13110
BH	2015	0.48000	0.49000	0.01000	0.00457	0.13567
BH	2015	0.49000	0.50000	0.01000	0.00466	0.14034
BH	2015	0.50000	0.51000	0.01000	0.00476	0.14510
BH	2015	0.51000	0.52000	0.01000	0.00487	0.14997
BH	2015	0.52000	0.53000	0.01000	0.00498	0.15495
BH	2015	0.53000	0.54000	0.01000	0.00510	0.16005
BH	2015	0.54000	0.55000	0.01000	0.00524	0.16529
BH	2015	0.55000	0.56000	0.01000	0.00538	0.17068
BH	2015	0.56000	0.57000	0.01000	0.00553	0.17621
BH	2015	0.57000	0.58000	0.01000	0.00569	0.18190
BH	2015	0.58000	0.59000	0.01000	0.00582	0.18772
BH	2015	0.59000	0.60000	0.01000	0.00595	0.19367
BH	2015	0.60000	0.61000	0.01000	0.00608	0.19975
BH	2015	0.61000	0.62000	0.01000	0.00621	0.20596
BH	2015	0.62000	0.63000	0.01000	0.00632	0.21228
BH	2015	0.63000	0.64000	0.01000	0.00643	0.21872
BH	2015	0.64000	0.65000	0.01000	0.00654	0.22526
BH	2015	0.65000	0.66000	0.01000	0.00665	0.23190
BH	2015	0.66000	0.67000	0.01000	0.00677	0.23867
BH	2015	0.67000	0.68000	0.01000	0.00689	0.24556
BH	2015	0.68000	0.69000	0.01000	0.00701	0.25256
BH	2015	0.69000	0.70000	0.01000	0.00713	0.25969
BH	2015	0.70000	0.71000	0.01000	0.00726	0.26696
BH	2015	0.71000	0.72000	0.01000	0.00741	0.27436
BH	2015	0.72000	0.73000	0.01000	0.00755	0.28191
BH	2015	0.73000	0.74000	0.01000	0.00770	0.28961
BH	2015	0.74000	0.75000	0.01000	0.00786	0.29747
BH	2015	0.75000	0.76000	0.01000	0.00804	0.30551
BH	2015	0.76000	0.77000	0.01000	0.00824	0.31374
BH	2015	0.77000	0.78000	0.01000	0.00846	0.32220
BH	2015	0.78000	0.79000	0.01000	0.00872	0.33092
BH	2015	0.79000	0.80000	0.01000	0.00903	0.33994
BH	2015	0.80000	0.81000	0.01000	0.00941	0.34936
BH	2015	0.81000	0.82000	0.01000	0.00990	0.35926
BH	2015	0.82000	0.83000	0.01000	0.01051	0.36977
BH	2015	0.83000	0.84000	0.01000	0.01123	0.38100
BH	2015	0.84000	0.85000	0.01000	0.01209	0.39309
BH	2015	0.85000	0.86000	0.01000	0.01307	0.40616
BH	2015	0.86000	0.87000	0.01000	0.01417	0.42033
BH	2015	0.87000	0.88000	0.01000	0.01544	0.43577
BH	2015	0.88000	0.89000	0.01000	0.01694	0.45271
BH	2015	0.89000	0.90000	0.01000	0.01868	0.47139
BH	2015	0.90000	0.91000	0.01000	0.02060	0.49198
BH	2015	0.91000	0.92000	0.01000	0.02272	0.51471
BH	2015	0.92000	0.93000	0.01000	0.02545	0.54016
BH	2015	0.93000	0.94000	0.01000	0.02912	0.56928
BH	2015	0.94000	0.95000	0.01000	0.03378	0.60305
BH	2015	0.95000	0.96000	0.01000	0.03932	0.64238
BH	2015	0.96000	0.97000	0.01000	0.04639	0.68876
BH	2015	0.97000	0.98000	0.01000	0.05630	0.74506
BH	2015	0.98000	0.99000	0.01000	0.07258	0.81764
BH	2015	0.99000	0.99100	0.00100	0.00876	0.82640
BH	2015	0.99100	0.99200	0.00100	0.00921	0.83561
BH	2015	0.99200	0.99300	0.00100	0.00974	0.84535
