country	year	low	high	width	share	cumul	# sptinc992j
CN-UR	2015	0.00000	0.01000	0.01000	0.00001	0.00001
CN-UR	2015	0.01000	0.02000	0.01000	0.00035	0.00036
CN-UR	2015	0.02000	0.03000	0.01000	0.00062	0.00098
CN-UR	2015	0.03000	0.04000	0.01000	0.00088	0.00186
CN-UR	2015	0.04000	0.05000	0.01000	0.00114	0.00300
CN-UR	2015	0.05000	0.06000	0.01000	0.00140	0.00439
CN-UR	2015	0.06000	0.07000	0.01000	0.00165	0.00604
CN-UR	2015	0.07000	0.08000	0.01000	0.00190	0.00794
CN-UR	2015	0.08000	0.09000	0.01000	0.00215	0.01010
CN-UR	2015	0.09000	0.10000	0.01000	0.00240	0.01250
CN-UR	2015	0.10000	0.11000	0.01000	0.00265	0.01515
CN-UR	2015	0.11000	0.12000	0.01000	0.00290	0.01806
CN-UR	2015	0.12000	0.13000	0.01000	0.00315	0.02121
CN-UR	2015	0.13000	0.14000	0.01000	0.00340	0.02461
CN-UR	2015	0.14000	0.15000	0.01000	0.00365	0.02826
CN-UR	2015	0.15000	0.16000	0.01000	0.00390	0.03216
CN-UR	2015	0.16000	0.17000	0.01000	0.00414	0.03631
CN-UR	2015	0.17000	0.18000	0.01000	0.00434	0.04064
CN-UR	2015	0.18000	0.19000	0.01000	0.00445	0.04509
CN-UR	2015	0.19000	0.20000	0.01000	0.00454	0.04964
CN-UR	2015	0.20000	0.21000	0.01000	0.00463	0.05427
CN-UR	2015	0.21000	0.22000	0.01000	0.00471	0.05898
CN-UR	2015	0.22000	0.23000	0.01000	0.00479	0.06377
CN-UR	2015	0.23000	0.24000	0.01000	0.00487	0.06864
CN-UR	2015	0.24000	0.25000	0.01000	0.00495	0.07359
CN-UR	2015	0.25000	0.26000	0.01000	0.00503	0.07862
CN-UR	2015	0.26000	0.27000	0.01000	0.00511	0.08373
CN-UR	2015	0.27000	0.28000	0.01000	0.00519	0.08891
CN-UR	2015	0.28000	0.29000	0.01000	0.00526	0.09418
CN-UR	2015	0.29000	0.30000	0.01000	0.00534	0.09952
CN-UR	2015	0.30000	0.31000	0.01000	0.00542	0.10494
CN-UR	2015	0.31000	0.32000	0.01000	0.00550	0.11044
CN-UR	2015	0.32000	0.33000	0.01000	0.00558	0.11602
CN-UR	2015	0.33000	0.34000	0.01000	0.00566	0.12168
CN-UR	2015	0.34000	0.35000	0.01000	0.00574	0.12742
CN-UR	2015	0.35000	0.36000	0.01000	0.00582	0.13323
CN-UR	2015	0.36000	0.37000	0.01000	0.00589	0.13913
CN-UR	2015	0.37000	0.38000	0.01000	0.00597	0.14510
CN-UR	2015	0.38000	0.39000	0.01000	0.00605	0.15116
CN-UR	2015	0.39000	0.40000	0.01000	0.00613	0.15729
CN-UR	2015	0.40000	0.41000	0.01000	0.00621	0.16350
CN-UR	2015	0.41000	0.42000	0.01000	0.00629	0.16979
CN-UR	2015	0.42000	0.43000	0.01000	0.00637	0.17617
CN-UR	2015	0.43000	0.44000	0.01000	0.00645	0.18262
