country	year	low	high	width	share	cumul	# sptinc992j
CN	2015	0.00000	0.01000	0.01000	-0.00008	-0.00008
CN	2015	0.01000	0.02000	0.01000	0.00014	0.00006
CN	2015	0.02000	0.03000	0.01000	0.00029	0.00035
CN	2015	0.03000	0.04000	0.01000	0.00042	0.00077
CN	2015	0.04000	0.05000	0.01000	0.00054	0.00131
CN	2015	0.05000	0.06000	0.01000	0.00067	0.00198
CN	2015	0.06000	0.07000	0.01000	0.00079	0.00277
CN	2015	0.07000	0.08000	0.01000	0.00091	0.00368
CN	2015	0.08000	0.09000	0.01000	0.00103	0.00471
CN	2015	0.09000	0.10000	0.01000	0.00115	0.00586
CN	2015	0.10000	0.11000	0.01000	0.00127	0.00713
CN	2015	0.11000	0.12000	0.01000	0.00139	0.00852
CN	2015	0.12000	0.13000	0.01000	0.00150	0.01002
CN	2015	0.13000	0.14000	0.01000	0.00162	0.01165
CN	2015	0.14000	0.15000	0.01000	0.00174	0.01338
CN	2015	0.15000	0.16000	0.01000	0.00186	0.01524
CN	2015	0.16000	0.17000	0.01000	0.00197	0.01721
CN	2015	0.17000	0.18000	0.01000	0.00209	0.01930
CN	2015	0.18000	0.19000	0.01000	0.00221	0.02151
CN	2015	0.19000	0.20000	0.01000	0.00232	0.02383
CN	2015	0.20000	0.21000	0.01000	0.00244	0.02627
CN	2015	0.21000	0.22000	0.01000	0.00256	0.02883
CN	2015	0.22000	0.23000	0.01000	0.00267	0.03150
CN	2015	0.23000	0.24000	0.01000	0.00279	0.03429
CN	2015	0.24000	0.25000	0.01000	0.00291	0.03720
CN	2015	0.25000	0.26000	0.01000	0.00302	0.04022
CN	2015	0.26000	0.27000	0.01000	0.00314	0.04336
CN	2015	0.27000	0.28000	0.01000	0.00326	0.04662
CN	2015	0.28000	0.29000	0.01000	0.00338	0.04999
CN	2015	0.29000	0.30000	0.01000	0.00349	0.05349
CN	2015	0.30000	0.31000	0.01000	0.00361	0.05710
CN	2015	0.31000	0.32000	0.01000	0.00373	0.06083
CN	2015	0.32000	0.33000	0.01000	0.00385	0.06468
CN	2015	0.33000	0.34000	0.01000	0.00397	0.06865
CN	2015	0.34000	0.35000	0.01000	0.00409	0.07273
CN	2015	0.35000	0.36000	0.01000	0.00420	0.07694
CN	2015	0.36000	0.37000	0.01000	0.00432	0.08126
CN	2015	0.37000	0.38000	0.01000	0.00444	0.08570
CN	2015	0.38000	0.39000	0.01000	0.00456	0.09026
CN	2015	0.39000	0.40000	0.01000	0.00468	0.09494
CN	2015	0.40000	0.41000	0.01000	0.00480	0.09974
CN	2015	0.41000	0.42000	0.01000	0.00492	0.10465
CN	2015	0.42000	0.43000	0.01000	0.00504	0.10969
CN	2015	0.43000	0.44000	0.01000	0.00516	0.11485
CN	2015	0.44000	0.45000	0.01000	0.00528	0.12013
CN	2015	0.45000	0.46000	0.01000	0.00540	0.12552
CN	2015	0.46000	0.47000	0.01000	0.00552	0.13104
CN	2015	0.47000	0.48000	0.01000	0.00564	0.13668
CN	2015	0.48000	0.49000	0.01000	0.00576	0.14245
CN	2015	0.49000	0.50000	0.01000	0.00589	0.14834
CN	2015	0.50000	0.51000	0.01000	0.00603	0.15436
CN	2015	0.51000	0.52000	0.01000	0.00617	0.16053
CN	2015	0.52000	0.53000	0.01000	0.00631	0.16684
CN	2015	0.53000	0.54000	0.01000	0.00646	0.17331
CN	2015	0.54000	0.55000	0.01000	0.00662	0.17993
CN	2015	0.55000	0.56000	0.01000	0.00678	0.18671
CN	2015	0.56000	0.57000	0.01000	0.00695	0.19366
CN	2015	0.57000	0.58000	0.01000	0.00713	0.20079
CN	2015	0.58000	0.59000	0.01000	0.00731	0.20810
CN	2015	0.59000	0.60000	0.01000	0.00750	0.21559
CN	2015	0.60000	0.61000	0.01000	0.00769	0.22329
CN	2015	0.61000	0.62000	0.01000	0.00790	0.23118
CN	2015	0.62000	0.63000	0.01000	0.00811	0.23929
CN	2015	0.63000	0.64000	0.01000	0.00833	0.24762
CN	2015	0.64000	0.65000	0.01000	0.00856	0.25618
CN	2015	0.65000	0.66000	0.01000	0.00879	0.26497
CN	2015	0.66000	0.67000	0.01000	0.00904	0.27401
CN	2015	0.67000	0.68000	0.01000	0.00930	0.28331
CN	2015	0.68000	0.69000	0.01000	0.00957	0.29287
CN	2015	0.69000	0.70000	0.01000	0.00985	0.30272
CN	2015	0.70000	0.71000	0.01000	0.01014	0.31286
CN	2015	0.71000	0.72000	0.01000	0.01044	0.32330
CN	2015	0.72000	0.73000	0.01000	0.01076	0.33406
CN	2015	0.73000	0.74000	0.01000	0.01109	0.34515
CN	2015	0.74000	0.75000	0.01000	0.01144	0.35659
CN	2015	0.75000	0.76000	0.01000	0.01181	0.36840
CN	2015	0.76000	0.77000	0.01000	0.01219	0.38059
CN	2015	0.77000	0.78000	0.01000	0.01259	0.39318
CN	2015	0.78000	0.79000	0.01000	0.01301	0.40619
CN	2015	0.79000	0.80000	0.01000	0.01346	0.41965
CN	2015	0.80000	0.81000	0.01000	0.01393	0.43357
CN	2015	0.81000	0.82000	0.01000	0.01442	0.44799
CN	2015	0.82000	0.83000	0.01000	0.01495	0.46294
CN	2015	0.83000	0.84000	0.01000	0.01550	0.47844
CN	2015	0.84000	0.85000	0.01000	0.01610	0.49454
CN	2015	0.85000	0.86000	0.01000	0.01673	0.51127
CN	2015	0.86000	0.87000	0.01000	0.01742	0.52869
CN	2015	0.87000	0.88000	0.01000	0.01816	0.54686
CN	2015	0.88000	0.89000	0.01000	0.01898	0.56584
CN	2015	0.89000	0.90000	0.01000	0.01989	0.58573
CN	2015	0.90000	0.91000	0.01000	0.02092	0.60665
CN	2015	0.91000	0.92000	0.01000	0.02211	0.62876
CN	2015	0.92000	0.93000	0.01000	0.02352	0.65228
CN	2015	0.93000	0.94000	0.01000	0.02526	0.67754
CN	2015	0.94000	0.95000	0.01000	0.02745	0.70498
CN	2015	0.95000	0.96000	0.01000	0.03032	0.73530
CN	2015	0.96000	0.97000	0.01000	0.03432	0.76962
CN	2015	0.97000	0.98000	0.01000	0.04031	0.80993
CN	2015	0.98000	0.99000	0.01000	0.05083	0.86076
CN	2015	0.99000	0.99100	0.00100	0.00611	0.86687
CN	2015	0.99100	0.99200	0.00100	0.00638	0.87325
CN	2015	0.99200	0.99300	0.00100	0.00669	0.87994
CN	2015	0.99300	0.99400	0.00100	0.00705	0.88699
CN	2015	0.99400	0.99500	0.00100	0.00755	0.89454
CN	2015	0.99500	0.99600	0.00100	0.00824	0.90278
CN	2015	0.99600	0.99700	0.00100	0.00916	0.91195
CN	2015	0.99700	0.99800	0.00100	0.01066	0.92260
CN	2015	0.99800	0.99900	0.00100	0.01440	0.93701
CN	2015	0.99900	0.99910	0.00010	0.00192	0.93892
CN	2015	0.99910	0.99920	0.00010	0.00205	0.94097
CN	2015	0.99920	0.99930	0.00010	0.00220	0.94317
CN	2015	0.99930	0.99940	0.00010	0.00241	0.94558
CN	2015	0.99940	0.99950	0.00010	0.00270	0.94828
CN	2015	0.99950	0.99960	0.00010	0.00314	0.95142
CN	2015	0.99960	0.99970	0.00010	0.00382	0.95524
CN	2015	0.99970	0.99980	0.00010	0.00497	0.96020
CN	2015	0.99980	0.99990	0.00010	0.00779	0.96799
CN	2015	0.99990	0.99991	0.00001	0.00112	0.96911
CN	2015	0.99991	0.99992	0.00001	0.00123	0.97034
CN	2015	0.99992	0.99993	0.00001	0.00136	0.97169
CN	2015	0.99993	0.99994	0.00001	0.00151	0.97321
CN	2015	0.99994	0.99995	0.00001	0.00171	0.97492
CN	2015	0.99995	0.99996	0.00001	0.00198	0.97690
CN	2015	0.99996	0.99997	0.00001	0.00236	0.97926
CN	2015	0.99997	0.99998	0.00001	0.00296	0.98222
CN	2015	0.99998	0.99999	0.00001	0.00415	0.98636
CN	2015	0.99999	1.00000	0.00001	0.01364	1.00000
CN	2014	0.00000	0.01000	0.01000	-0.00008	-0.00008
CN	2014	0.01000	0.02000	0.01000	0.00014	0.00006
CN	2014	0.02000	0.03000	0.01000	0.00029	0.00034
CN	2014	0.03000	0.04000	0.01000	0.00042	0.00076
CN	2014	0.04000	0.05000	0.01000	0.00055	0.00131
CN	2014	0.05000	0.06000	0.01000	0.00067	0.00198
CN	2014	0.06000	0.07000	0.01000	0.00079	0.00277
CN	2014	0.07000	0.08000	0.01000	0.00091	0.00368
CN	2014	0.08000	0.09000	0.01000	0.00103	0.00472
CN	2014	0.09000	0.10000	0.01000	0.00115	0.00587
CN	2014	0.10000	0.11000	0.01000	0.00127	0.00714
CN	2014	0.11000	0.12000	0.01000	0.00139	0.00853
CN	2014	0.12000	0.13000	0.01000	0.00151	0.01004
CN	2014	0.13000	0.14000	0.01000	0.00163	0.01166
CN	2014	0.14000	0.15000	0.01000	0.00174	0.01341
CN	2014	0.15000	0.16000	0.01000	0.00186	0.01527
CN	2014	0.16000	0.17000	0.01000	0.00198	0.01724
CN	2014	0.17000	0.18000	0.01000	0.00209	0.01934
CN	2014	0.18000	0.19000	0.01000	0.00221	0.02155
CN	2014	0.19000	0.20000	0.01000	0.00233	0.02387
CN	2014	0.20000	0.21000	0.01000	0.00244	0.02632
CN	2014	0.21000	0.22000	0.01000	0.00256	0.02888
