country	year	low	high	width	share	cumul	# sptinc992j
DE	2016	0.00000	0.01000	0.01000	0.00010	0.00010
DE	2016	0.01000	0.02000	0.01000	0.00080	0.00090
DE	2016	0.02000	0.03000	0.01000	0.00130	0.00220
DE	2016	0.03000	0.04000	0.01000	0.00140	0.00360
DE	2016	0.04000	0.05000	0.01000	0.00160	0.00520
DE	2016	0.05000	0.06000	0.01000	0.00180	0.00700
DE	2016	0.06000	0.07000	0.01000	0.00200	0.00900
DE	2016	0.07000	0.08000	0.01000	0.00220	0.01120
DE	2016	0.08000	0.09000	0.01000	0.00240	0.01360
DE	2016	0.09000	0.10000	0.01000	0.00240	0.01600
DE	2016	0.10000	0.11000	0.01000	0.00270	0.01870
DE	2016	0.11000	0.12000	0.01000	0.00290	0.02160
DE	2016	0.12000	0.13000	0.01000	0.00310	0.02470
DE	2016	0.13000	0.14000	0.01000	0.00320	0.02790
DE	2016	0.14000	0.15000	0.01000	0.00340	0.03130
DE	2016	0.15000	0.16000	0.01000	0.00350	0.03480
DE	2016	0.16000	0.17000	0.01000	0.00360	0.03840
DE	2016	0.17000	0.18000	0.01000	0.00370	0.04210
DE	2016	0.18000	0.19000	0.01000	0.00380	0.04590
DE	2016	0.19000	0.20000	0.01000	0.00380	0.04970
DE	2016	0.20000	0.21000	0.01000	0.00400	0.05370
DE	2016	0.21000	0.22000	0.01000	0.00410	0.05780
DE	2016	0.22000	0.23000	0.01000	0.00420	0.06200
DE	2016	0.23000	0.24000	0.01000	0.00430	0.06630
DE	2016	0.24000	0.25000	0.01000	0.00440	0.07070
DE	2016	0.25000	0.26000	0.01000	0.00450	0.07520
DE	2016	0.26000	0.27000	0.01000	0.00460	0.07980
DE	2016	0.27000	0.28000	0.01000	0.00470	0.08450
DE	2016	0.28000	0.29000	0.01000	0.00480	0.08930
DE	2016	0.29000	0.30000	0.01000	0.00500	0.09430
DE	2016	0.30000	0.31000	0.01000	0.00500	0.09930
DE	2016	0.31000	0.32000	0.01000	0.00510	0.10440
DE	2016	0.32000	0.33000	0.01000	0.00520	0.10960
DE	2016	0.33000	0.34000	0.01000	0.00530	0.11490
DE	2016	0.34000	0.35000	0.01000	0.00540	0.12030
DE	2016	0.35000	0.36000	0.01000	0.00550	0.12580
DE	2016	0.36000	0.37000	0.01000	0.00550	0.13130
DE	2016	0.37000	0.38000	0.01000	0.00560	0.13690
DE	2016	0.38000	0.39000	0.01000	0.00570	0.14260
DE	2016	0.39000	0.40000	0.01000	0.00590	0.14850
DE	2016	0.40000	0.41000	0.01000	0.00600	0.15450
DE	2016	0.41000	0.42000	0.01000	0.00610	0.16060
DE	2016	0.42000	0.43000	0.01000	0.00620	0.16680
DE	2016	0.43000	0.44000	0.01000	0.00630	0.17310
DE	2016	0.44000	0.45000	0.01000	0.00640	0.17950
DE	2016	0.45000	0.46000	0.01000	0.00660	0.18610
DE	2016	0.46000	0.47000	0.01000	0.00670	0.19280
DE	2016	0.47000	0.48000	0.01000	0.00680	0.19960
DE	2016	0.48000	0.49000	0.01000	0.00690	0.20650
DE	2016	0.49000	0.50000	0.01000	0.00710	0.21360
DE	2016	0.50000	0.51000	0.01000	0.00720	0.22080
DE	2016	0.51000	0.52000	0.01000	0.00730	0.22810
DE	2016	0.52000	0.53000	0.01000	0.00740	0.23550
DE	2016	0.53000	0.54000	0.01000	0.00760	0.24310
DE	2016	0.54000	0.55000	0.01000	0.00770	0.25080
DE	2016	0.55000	0.56000	0.01000	0.00790	0.25870
DE	2016	0.56000	0.57000	0.01000	0.00800	0.26670
DE	2016	0.57000	0.58000	0.01000	0.00820	0.27490
DE	2016	0.58000	0.59000	0.01000	0.00830	0.28320
DE	2016	0.59000	0.60000	0.01000	0.00830	0.29150
DE	2016	0.60000	0.61000	0.01000	0.00860	0.30010
DE	2016	0.61000	0.62000	0.01000	0.00870	0.30880
DE	2016	0.62000	0.63000	0.01000	0.00890	0.31770
DE	2016	0.63000	0.64000	0.01000	0.00900	0.32670
DE	2016	0.64000	0.65000	0.01000	0.00920	0.33590
DE	2016	0.65000	0.66000	0.01000	0.00940	0.34530
DE	2016	0.66000	0.67000	0.01000	0.00950	0.35480
DE	2016	0.67000	0.68000	0.01000	0.00970	0.36450
DE	2016	0.68000	0.69000	0.01000	0.00990	0.37440
DE	2016	0.69000	0.70000	0.01000	0.01020	0.38460
DE	2016	0.70000	0.71000	0.01000	0.01030	0.39490
DE	2016	0.71000	0.72000	0.01000	0.01050	0.40540
DE	2016	0.72000	0.73000	0.01000	0.01070	0.41610
DE	2016	0.73000	0.74000	0.01000	0.01100	0.42710
DE	2016	0.74000	0.75000	0.01000	0.01120	0.43830
