country	year	low	high	width	share	cumul	# sptinc992j
EG	2015	0.00000	0.01000	0.01000	0.00101	0.00101
EG	2015	0.01000	0.02000	0.01000	0.00169	0.00270
EG	2015	0.02000	0.03000	0.01000	0.00195	0.00464
EG	2015	0.03000	0.04000	0.01000	0.00206	0.00671
EG	2015	0.04000	0.05000	0.01000	0.00214	0.00885
EG	2015	0.05000	0.06000	0.01000	0.00227	0.01112
EG	2015	0.06000	0.07000	0.01000	0.00240	0.01352
EG	2015	0.07000	0.08000	0.01000	0.00249	0.01601
EG	2015	0.08000	0.09000	0.01000	0.00257	0.01859
EG	2015	0.09000	0.10000	0.01000	0.00266	0.02124
EG	2015	0.10000	0.11000	0.01000	0.00274	0.02398
EG	2015	0.11000	0.12000	0.01000	0.00281	0.02679
EG	2015	0.12000	0.13000	0.01000	0.00288	0.02968
EG	2015	0.13000	0.14000	0.01000	0.00295	0.03263
EG	2015	0.14000	0.15000	0.01000	0.00302	0.03566
EG	2015	0.15000	0.16000	0.01000	0.00309	0.03875
EG	2015	0.16000	0.17000	0.01000	0.00316	0.04191
EG	2015	0.17000	0.18000	0.01000	0.00322	0.04513
EG	2015	0.18000	0.19000	0.01000	0.00329	0.04842
EG	2015	0.19000	0.20000	0.01000	0.00335	0.05177
EG	2015	0.20000	0.21000	0.01000	0.00341	0.05518
EG	2015	0.21000	0.22000	0.01000	0.00348	0.05866
EG	2015	0.22000	0.23000	0.01000	0.00354	0.06219
EG	2015	0.23000	0.24000	0.01000	0.00360	0.06579
EG	2015	0.24000	0.25000	0.01000	0.00366	0.06945
EG	2015	0.25000	0.26000	0.01000	0.00372	0.07317
EG	2015	0.26000	0.27000	0.01000	0.00379	0.07697
EG	2015	0.27000	0.28000	0.01000	0.00386	0.08082
EG	2015	0.28000	0.29000	0.01000	0.00392	0.08474
EG	2015	0.29000	0.30000	0.01000	0.00398	0.08872
EG	2015	0.30000	0.31000	0.01000	0.00404	0.09277
EG	2015	0.31000	0.32000	0.01000	0.00411	0.09688
EG	2015	0.32000	0.33000	0.01000	0.00417	0.10105
EG	2015	0.33000	0.34000	0.01000	0.00424	0.10529
EG	2015	0.34000	0.35000	0.01000	0.00430	0.10959
EG	2015	0.35000	0.36000	0.01000	0.00437	0.11395
EG	2015	0.36000	0.37000	0.01000	0.00443	0.11839
EG	2015	0.37000	0.38000	0.01000	0.00450	0.12289
EG	2015	0.38000	0.39000	0.01000	0.00457	0.12745
EG	2015	0.39000	0.40000	0.01000	0.00463	0.13209
EG	2015	0.40000	0.41000	0.01000	0.00470	0.13679
EG	2015	0.41000	0.42000	0.01000	0.00477	0.14155
EG	2015	0.42000	0.43000	0.01000	0.00484	0.14639
EG	2015	0.43000	0.44000	0.01000	0.00491	0.15129
EG	2015	0.44000	0.45000	0.01000	0.00498	0.15627
EG	2015	0.45000	0.46000	0.01000	0.00505	0.16133
EG	2015	0.46000	0.47000	0.01000	0.00513	0.16645
EG	2015	0.47000	0.48000	0.01000	0.00520	0.17165
EG	2015	0.48000	0.49000	0.01000	0.00528	0.17693
EG	2015	0.49000	0.50000	0.01000	0.00535	0.18229
EG	2015	0.50000	0.51000	0.01000	0.00543	0.18772
EG	2015	0.51000	0.52000	0.01000	0.00551	0.19323
EG	2015	0.52000	0.53000	0.01000	0.00560	0.19883
EG	2015	0.53000	0.54000	0.01000	0.00568	0.20451
EG	2015	0.54000	0.55000	0.01000	0.00577	0.21027
EG	2015	0.55000	0.56000	0.01000	0.00585	0.21613
EG	2015	0.56000	0.57000	0.01000	0.00594	0.22207
EG	2015	0.57000	0.58000	0.01000	0.00603	0.22811
EG	2015	0.58000	0.59000	0.01000	0.00613	0.23424
EG	2015	0.59000	0.60000	0.01000	0.00623	0.24046
EG	2015	0.60000	0.61000	0.01000	0.00633	0.24679
EG	2015	0.61000	0.62000	0.01000	0.00643	0.25322
EG	2015	0.62000	0.63000	0.01000	0.00653	0.25975
EG	2015	0.63000	0.64000	0.01000	0.00664	0.26639
EG	2015	0.64000	0.65000	0.01000	0.00675	0.27314
EG	2015	0.65000	0.66000	0.01000	0.00686	0.28001
EG	2015	0.66000	0.67000	0.01000	0.00698	0.28698
EG	2015	0.67000	0.68000	0.01000	0.00709	0.29408
EG	2015	0.68000	0.69000	0.01000	0.00721	0.30129
EG	2015	0.69000	0.70000	0.01000	0.00734	0.30863
EG	2015	0.70000	0.71000	0.01000	0.00747	0.31610
EG	2015	0.71000	0.72000	0.01000	0.00760	0.32370
EG	2015	0.72000	0.73000	0.01000	0.00774	0.33145
EG	2015	0.73000	0.74000	0.01000	0.00789	0.33934
EG	2015	0.74000	0.75000	0.01000	0.00805	0.34739
EG	2015	0.75000	0.76000	0.01000	0.00822	0.35562
EG	2015	0.76000	0.77000	0.01000	0.00841	0.36403
EG	2015	0.77000	0.78000	0.01000	0.00861	0.37264
EG	2015	0.78000	0.79000	0.01000	0.00884	0.38148
EG	2015	0.79000	0.80000	0.01000	0.00911	0.39059
EG	2015	0.80000	0.81000	0.01000	0.00942	0.40001
EG	2015	0.81000	0.82000	0.01000	0.00979	0.40980
EG	2015	0.82000	0.83000	0.01000	0.01025	0.42005
EG	2015	0.83000	0.84000	0.01000	0.01081	0.43087
EG	2015	0.84000	0.85000	0.01000	0.01147	0.44234
EG	2015	0.85000	0.86000	0.01000	0.01226	0.45460
EG	2015	0.86000	0.87000	0.01000	0.01320	0.46780
EG	2015	0.87000	0.88000	0.01000	0.01431	0.48211
EG	2015	0.88000	0.89000	0.01000	0.01559	0.49770
EG	2015	0.89000	0.90000	0.01000	0.01705	0.51476
EG	2015	0.90000	0.91000	0.01000	0.01871	0.53346
EG	2015	0.91000	0.92000	0.01000	0.02057	0.55403
EG	2015	0.92000	0.93000	0.01000	0.02268	0.57671
EG	2015	0.93000	0.94000	0.01000	0.02521	0.60193
EG	2015	0.94000	0.95000	0.01000	0.02855	0.63047
EG	2015	0.95000	0.96000	0.01000	0.03277	0.66324
EG	2015	0.96000	0.97000	0.01000	0.03805	0.70129
EG	2015	0.97000	0.98000	0.01000	0.04607	0.74736
EG	2015	0.98000	0.99000	0.01000	0.06133	0.80869
EG	2015	0.99000	0.99100	0.00100	0.00785	0.81655
EG	2015	0.99100	0.99200	0.00100	0.00836	0.82491
EG	2015	0.99200	0.99300	0.00100	0.00899	0.83390
EG	2015	0.99300	0.99400	0.00100	0.00974	0.84363
EG	2015	0.99400	0.99500	0.00100	0.01070	0.85433
EG	2015	0.99500	0.99600	0.00100	0.01199	0.86632
EG	2015	0.99600	0.99700	0.00100	0.01385	0.88017
EG	2015	0.99700	0.99800	0.00100	0.01686	0.89703
EG	2015	0.99800	0.99900	0.00100	0.02302	0.92005
EG	2015	0.99900	0.99910	0.00010	0.00297	0.92302
EG	2015	0.99910	0.99920	0.00010	0.00318	0.92620
EG	2015	0.99920	0.99930	0.00010	0.00344	0.92964
EG	2015	0.99930	0.99940	0.00010	0.00375	0.93338
EG	2015	0.99940	0.99950	0.00010	0.00416	0.93754
EG	2015	0.99950	0.99960	0.00010	0.00471	0.94225
EG	2015	0.99960	0.99970	0.00010	0.00553	0.94778
EG	2015	0.99970	0.99980	0.00010	0.00687	0.95465
EG	2015	0.99980	0.99990	0.00010	0.00969	0.96435
EG	2015	0.99990	0.99991	0.00001	0.00128	0.96562
EG	2015	0.99991	0.99992	0.00001	0.00138	0.96700
EG	2015	0.99992	0.99993	0.00001	0.00149	0.96850
EG	2015	0.99993	0.99994	0.00001	0.00164	0.97014
EG	2015	0.99994	0.99995	0.00001	0.00184	0.97198
EG	2015	0.99995	0.99996	0.00001	0.00210	0.97407
EG	2015	0.99996	0.99997	0.00001	0.00248	0.97655
EG	2015	0.99997	0.99998	0.00001	0.00310	0.97965
EG	2015	0.99998	0.99999	0.00001	0.00437	0.98402
EG	2015	0.99999	1.00000	0.00001	0.01598	1.00000
EG	2012	0.00000	0.01000	0.01000	0.00104	0.00104
EG	2012	0.01000	0.02000	0.01000	0.00180	0.00283
EG	2012	0.02000	0.03000	0.01000	0.00211	0.00494
EG	2012	0.03000	0.04000	0.01000	0.00223	0.00717
EG	2012	0.04000	0.05000	0.01000	0.00231	0.00948
EG	2012	0.05000	0.06000	0.01000	0.00241	0.01190
EG	2012	0.06000	0.07000	0.01000	0.00252	0.01442
EG	2012	0.07000	0.08000	0.01000	0.00260	0.01702
EG	2012	0.08000	0.09000	0.01000	0.00268	0.01971
EG	2012	0.09000	0.10000	0.01000	0.00277	0.02247
EG	2012	0.10000	0.11000	0.01000	0.00285	0.02532
EG	2012	0.11000	0.12000	0.01000	0.00293	0.02825
EG	2012	0.12000	0.13000	0.01000	0.00300	0.03125
EG	2012	0.13000	0.14000	0.01000	0.00308	0.03433
EG	2012	0.14000	0.15000	0.01000	0.00316	0.03749
EG	2012	0.15000	0.16000	0.01000	0.00323	0.04072
EG	2012	0.16000	0.17000	0.01000	0.00329	0.04401
EG	2012	0.17000	0.18000	0.01000	0.00336	0.04737
EG	2012	0.18000	0.19000	0.01000	0.00343	0.05080
EG	2012	0.19000	0.20000	0.01000	0.00349	0.05429
