country	year	low	high	width	share	cumul	# sptinc992j
IQ	2007	0.00000	0.01000	0.01000	0.00017	0.00017
IQ	2007	0.01000	0.02000	0.01000	0.00072	0.00089
IQ	2007	0.02000	0.03000	0.01000	0.00106	0.00195
IQ	2007	0.03000	0.04000	0.01000	0.00123	0.00318
IQ	2007	0.04000	0.05000	0.01000	0.00136	0.00454
IQ	2007	0.05000	0.06000	0.01000	0.00150	0.00604
IQ	2007	0.06000	0.07000	0.01000	0.00164	0.00769
IQ	2007	0.07000	0.08000	0.01000	0.00177	0.00946
IQ	2007	0.08000	0.09000	0.01000	0.00188	0.01133
IQ	2007	0.09000	0.10000	0.01000	0.00197	0.01331
IQ	2007	0.10000	0.11000	0.01000	0.00207	0.01538
IQ	2007	0.11000	0.12000	0.01000	0.00216	0.01753
IQ	2007	0.12000	0.13000	0.01000	0.00222	0.01976
IQ	2007	0.13000	0.14000	0.01000	0.00229	0.02205
IQ	2007	0.14000	0.15000	0.01000	0.00238	0.02443
IQ	2007	0.15000	0.16000	0.01000	0.00247	0.02690
IQ	2007	0.16000	0.17000	0.01000	0.00255	0.02944
IQ	2007	0.17000	0.18000	0.01000	0.00262	0.03207
IQ	2007	0.18000	0.19000	0.01000	0.00270	0.03477
IQ	2007	0.19000	0.20000	0.01000	0.00278	0.03755
IQ	2007	0.20000	0.21000	0.01000	0.00283	0.04037
IQ	2007	0.21000	0.22000	0.01000	0.00288	0.04325
IQ	2007	0.22000	0.23000	0.01000	0.00294	0.04619
IQ	2007	0.23000	0.24000	0.01000	0.00300	0.04919
IQ	2007	0.24000	0.25000	0.01000	0.00307	0.05226
IQ	2007	0.25000	0.26000	0.01000	0.00313	0.05539
IQ	2007	0.26000	0.27000	0.01000	0.00320	0.05859
IQ	2007	0.27000	0.28000	0.01000	0.00327	0.06186
IQ	2007	0.28000	0.29000	0.01000	0.00334	0.06519
IQ	2007	0.29000	0.30000	0.01000	0.00340	0.06860
IQ	2007	0.30000	0.31000	0.01000	0.00347	0.07207
IQ	2007	0.31000	0.32000	0.01000	0.00354	0.07561
IQ	2007	0.32000	0.33000	0.01000	0.00360	0.07921
IQ	2007	0.33000	0.34000	0.01000	0.00367	0.08287
IQ	2007	0.34000	0.35000	0.01000	0.00374	0.08661
IQ	2007	0.35000	0.36000	0.01000	0.00381	0.09042
IQ	2007	0.36000	0.37000	0.01000	0.00388	0.09429
IQ	2007	0.37000	0.38000	0.01000	0.00395	0.09824
IQ	2007	0.38000	0.39000	0.01000	0.00402	0.10226
IQ	2007	0.39000	0.40000	0.01000	0.00409	0.10635
IQ	2007	0.40000	0.41000	0.01000	0.00417	0.11052
IQ	2007	0.41000	0.42000	0.01000	0.00425	0.11478
IQ	2007	0.42000	0.43000	0.01000	0.00434	0.11911
IQ	2007	0.43000	0.44000	0.01000	0.00442	0.12353
IQ	2007	0.44000	0.45000	0.01000	0.00450	0.12802
IQ	2007	0.45000	0.46000	0.01000	0.00458	0.13260
IQ	2007	0.46000	0.47000	0.01000	0.00466	0.13726
IQ	2007	0.47000	0.48000	0.01000	0.00474	0.14200
IQ	2007	0.48000	0.49000	0.01000	0.00483	0.14683
IQ	2007	0.49000	0.50000	0.01000	0.00491	0.15174
IQ	2007	0.50000	0.51000	0.01000	0.00500	0.15675
IQ	2007	0.51000	0.52000	0.01000	0.00509	0.16184
IQ	2007	0.52000	0.53000	0.01000	0.00518	0.16702
IQ	2007	0.53000	0.54000	0.01000	0.00527	0.17229
IQ	2007	0.54000	0.55000	0.01000	0.00536	0.17765
IQ	2007	0.55000	0.56000	0.01000	0.00545	0.18311
IQ	2007	0.56000	0.57000	0.01000	0.00555	0.18865
IQ	2007	0.57000	0.58000	0.01000	0.00564	0.19429
IQ	2007	0.58000	0.59000	0.01000	0.00573	0.20003
IQ	2007	0.59000	0.60000	0.01000	0.00583	0.20586
IQ	2007	0.60000	0.61000	0.01000	0.00593	0.21179
IQ	2007	0.61000	0.62000	0.01000	0.00603	0.21782
IQ	2007	0.62000	0.63000	0.01000	0.00613	0.22395
IQ	2007	0.63000	0.64000	0.01000	0.00624	0.23019
IQ	2007	0.64000	0.65000	0.01000	0.00635	0.23654
IQ	2007	0.65000	0.66000	0.01000	0.00647	0.24301
IQ	2007	0.66000	0.67000	0.01000	0.00659	0.24959
IQ	2007	0.67000	0.68000	0.01000	0.00671	0.25630
IQ	2007	0.68000	0.69000	0.01000	0.00683	0.26313
IQ	2007	0.69000	0.70000	0.01000	0.00696	0.27009
IQ	2007	0.70000	0.71000	0.01000	0.00709	0.27718
IQ	2007	0.71000	0.72000	0.01000	0.00722	0.28440
IQ	2007	0.72000	0.73000	0.01000	0.00737	0.29177
IQ	2007	0.73000	0.74000	0.01000	0.00751	0.29928
IQ	2007	0.74000	0.75000	0.01000	0.00767	0.30695
IQ	2007	0.75000	0.76000	0.01000	0.00784	0.31478
IQ	2007	0.76000	0.77000	0.01000	0.00802	0.32281
IQ	2007	0.77000	0.78000	0.01000	0.00822	0.33103
IQ	2007	0.78000	0.79000	0.01000	0.00845	0.33948
IQ	2007	0.79000	0.80000	0.01000	0.00872	0.34820
IQ	2007	0.80000	0.81000	0.01000	0.00904	0.35724
