country	year	low	high	width	share	cumul	# sptinc992i
KR	2016	0.00000	0.90000	0.90000	0.56680	0.56680
KR	2016	0.90000	0.95000	0.05000	0.14050	0.70730
KR	2016	0.95000	0.99000	0.04000	0.17110	0.87840
KR	2016	0.99000	0.99500	0.00500	0.03400	0.91240
KR	2016	0.99500	0.99900	0.00400	0.04460	0.95700
KR	2016	0.99900	0.99950	0.00050	0.01120	0.96820
KR	2016	0.99950	0.99990	0.00040	0.01590	0.98410
KR	2016	0.99990	1.00000	0.00010	0.01590	1.00000
KR	2015	0.00000	0.90000	0.90000	0.56870	0.56870
KR	2015	0.90000	0.95000	0.05000	0.13950	0.70820
KR	2015	0.95000	0.99000	0.04000	0.17100	0.87920
KR	2015	0.99000	0.99500	0.00500	0.03380	0.91300
KR	2015	0.99500	0.99900	0.00400	0.04390	0.95690
KR	2015	0.99900	0.99950	0.00050	0.01100	0.96790
KR	2015	0.99950	0.99990	0.00040	0.01560	0.98350
KR	2015	0.99990	1.00000	0.00010	0.01650	1.00000
KR	2014	0.00000	0.90000	0.90000	0.57310	0.57310
KR	2014	0.90000	0.95000	0.05000	0.13860	0.71170
KR	2014	0.95000	0.99000	0.04000	0.17050	0.88220
KR	2014	0.99000	0.99500	0.00500	0.03350	0.91570
KR	2014	0.99500	0.99900	0.00400	0.04300	0.95870
KR	2014	0.99900	0.99950	0.00050	0.01070	0.96940
KR	2014	0.99950	0.99990	0.00040	0.01520	0.98460
KR	2014	0.99990	1.00000	0.00010	0.01540	1.00000
KR	2013	0.00000	0.90000	0.90000	0.57450	0.57450
KR	2013	0.90000	0.95000	0.05000	0.13900	0.71350
KR	2013	0.95000	0.99000	0.04000	0.17020	0.88370
KR	2013	0.99000	0.99500	0.00500	0.03330	0.91700
KR	2013	0.99500	0.99900	0.00400	0.04220	0.95920
KR	2013	0.99900	0.99950	0.00050	0.01040	0.96960
KR	2013	0.99950	0.99990	0.00040	0.01500	0.98460
KR	2013	0.99990	1.00000	0.00010	0.01540	1.00000
KR	2012	0.00000	0.90000	0.90000	0.57260	0.57260
KR	2012	0.90000	0.95000	0.05000	0.13890	0.71150
KR	2012	0.95000	0.99000	0.04000	0.17110	0.88260
KR	2012	0.99000	0.99500	0.00500	0.03350	0.91610
KR	2012	0.99500	0.99900	0.00400	0.04210	0.95820
KR	2012	0.99900	0.99950	0.00050	0.01050	0.96870
KR	2012	0.99950	0.99990	0.00040	0.01530	0.98400
KR	2012	0.99990	1.00000	0.00010	0.01600	1.00000
KR	2011	0.00000	0.90000	0.90000	0.56870	0.56870
KR	2011	0.90000	0.95000	0.05000	0.13880	0.70750
KR	2011	0.95000	0.99000	0.04000	0.17230	0.87980
KR	2011	0.99000	0.99500	0.00500	0.03400	0.91380
KR	2011	0.99500	0.99900	0.00400	0.04280	0.95660
KR	2011	0.99900	0.99950	0.00050	0.01080	0.96740
KR	2011	0.99950	0.99990	0.00040	0.01600	0.98340
