country	year	low	high	width	share	cumul	# sptinc992j
TH	2016	0.00000	0.01000	0.01000	0.00050	0.00050
TH	2016	0.01000	0.02000	0.01000	0.00080	0.00130
TH	2016	0.02000	0.03000	0.01000	0.00090	0.00220
TH	2016	0.03000	0.04000	0.01000	0.00110	0.00330
TH	2016	0.04000	0.05000	0.01000	0.00120	0.00450
TH	2016	0.05000	0.06000	0.01000	0.00130	0.00580
TH	2016	0.06000	0.07000	0.01000	0.00130	0.00710
TH	2016	0.07000	0.08000	0.01000	0.00140	0.00850
TH	2016	0.08000	0.09000	0.01000	0.00150	0.01000
TH	2016	0.09000	0.10000	0.01000	0.00140	0.01140
TH	2016	0.10000	0.11000	0.01000	0.00160	0.01300
TH	2016	0.11000	0.12000	0.01000	0.00170	0.01470
TH	2016	0.12000	0.13000	0.01000	0.00170	0.01640
TH	2016	0.13000	0.14000	0.01000	0.00180	0.01820
TH	2016	0.14000	0.15000	0.01000	0.00190	0.02010
TH	2016	0.15000	0.16000	0.01000	0.00200	0.02210
TH	2016	0.16000	0.17000	0.01000	0.00200	0.02410
TH	2016	0.17000	0.18000	0.01000	0.00210	0.02620
TH	2016	0.18000	0.19000	0.01000	0.00220	0.02840
TH	2016	0.19000	0.20000	0.01000	0.00220	0.03060
TH	2016	0.20000	0.21000	0.01000	0.00230	0.03290
TH	2016	0.21000	0.22000	0.01000	0.00240	0.03530
TH	2016	0.22000	0.23000	0.01000	0.00250	0.03780
TH	2016	0.23000	0.24000	0.01000	0.00260	0.04040
TH	2016	0.24000	0.25000	0.01000	0.00260	0.04300
TH	2016	0.25000	0.26000	0.01000	0.00270	0.04570
TH	2016	0.26000	0.27000	0.01000	0.00280	0.04850
TH	2016	0.27000	0.28000	0.01000	0.00280	0.05130
TH	2016	0.28000	0.29000	0.01000	0.00290	0.05420
TH	2016	0.29000	0.30000	0.01000	0.00300	0.05720
TH	2016	0.30000	0.31000	0.01000	0.00310	0.06030
TH	2016	0.31000	0.32000	0.01000	0.00310	0.06340
TH	2016	0.32000	0.33000	0.01000	0.00320	0.06660
TH	2016	0.33000	0.34000	0.01000	0.00330	0.06990
TH	2016	0.34000	0.35000	0.01000	0.00330	0.07320
TH	2016	0.35000	0.36000	0.01000	0.00340	0.07660
TH	2016	0.36000	0.37000	0.01000	0.00350	0.08010
TH	2016	0.37000	0.38000	0.01000	0.00350	0.08360
TH	2016	0.38000	0.39000	0.01000	0.00360	0.08720
TH	2016	0.39000	0.40000	0.01000	0.00360	0.09080
TH	2016	0.40000	0.41000	0.01000	0.00380	0.09460
TH	2016	0.41000	0.42000	0.01000	0.00380	0.09840
TH	2016	0.42000	0.43000	0.01000	0.00390	0.10230
TH	2016	0.43000	0.44000	0.01000	0.00400	0.10630
TH	2016	0.44000	0.45000	0.01000	0.00410	0.11040
TH	2016	0.45000	0.46000	0.01000	0.00420	0.11460
TH	2016	0.46000	0.47000	0.01000	0.00430	0.11890
TH	2016	0.47000	0.48000	0.01000	0.00440	0.12330
TH	2016	0.48000	0.49000	0.01000	0.00450	0.12780
TH	2016	0.49000	0.50000	0.01000	0.00460	0.13240
TH	2016	0.50000	0.51000	0.01000	0.00470	0.13710
TH	2016	0.51000	0.52000	0.01000	0.00480	0.14190
TH	2016	0.52000	0.53000	0.01000	0.00490	0.14680
TH	2016	0.53000	0.54000	0.01000	0.00500	0.15180
TH	2016	0.54000	0.55000	0.01000	0.00510	0.15690
TH	2016	0.55000	0.56000	0.01000	0.00520	0.16210
TH	2016	0.56000	0.57000	0.01000	0.00530	0.16740
TH	2016	0.57000	0.58000	0.01000	0.00540	0.17280
TH	2016	0.58000	0.59000	0.01000	0.00560	0.17840
TH	2016	0.59000	0.60000	0.01000	0.00560	0.18400
TH	2016	0.60000	0.61000	0.01000	0.00580	0.18980
TH	2016	0.61000	0.62000	0.01000	0.00590	0.19570
TH	2016	0.62000	0.63000	0.01000	0.00600	0.20170
TH	2016	0.63000	0.64000	0.01000	0.00620	0.20790
TH	2016	0.64000	0.65000	0.01000	0.00630	0.21420
TH	2016	0.65000	0.66000	0.01000	0.00640	0.22060
TH	2016	0.66000	0.67000	0.01000	0.00660	0.22720
TH	2016	0.67000	0.68000	0.01000	0.00670	0.23390
TH	2016	0.68000	0.69000	0.01000	0.00690	0.24080
TH	2016	0.69000	0.70000	0.01000	0.00720	0.24800
TH	2016	0.70000	0.71000	0.01000	0.00730	0.25530
TH	2016	0.71000	0.72000	0.01000	0.00750	0.26280
TH	2016	0.72000	0.73000	0.01000	0.00770	0.27050
TH	2016	0.73000	0.74000	0.01000	0.00790	0.27840
TH	2016	0.74000	0.75000	0.01000	0.00820	0.28660
TH	2016	0.75000	0.76000	0.01000	0.00840	0.29500
TH	2016	0.76000	0.77000	0.01000	0.00870	0.30370
TH	2016	0.77000	0.78000	0.01000	0.00900	0.31270
TH	2016	0.78000	0.79000	0.01000	0.00930	0.32200
TH	2016	0.79000	0.80000	0.01000	0.00960	0.33160
TH	2016	0.80000	0.81000	0.01000	0.01010	0.34170
TH	2016	0.81000	0.82000	0.01000	0.01060	0.35230
TH	2016	0.82000	0.83000	0.01000	0.01110	0.36340
TH	2016	0.83000	0.84000	0.01000	0.01180	0.37520
TH	2016	0.84000	0.85000	0.01000	0.01260	0.38780
TH	2016	0.85000	0.86000	0.01000	0.01360	0.40140
TH	2016	0.86000	0.87000	0.01000	0.01470	0.41610
TH	2016	0.87000	0.88000	0.01000	0.01610	0.43220
TH	2016	0.88000	0.89000	0.01000	0.01760	0.44980
TH	2016	0.89000	0.90000	0.01000	0.01930	0.46910
TH	2016	0.90000	0.91000	0.01000	0.02120	0.49030
TH	2016	0.91000	0.92000	0.01000	0.02300	0.51330
TH	2016	0.92000	0.93000	0.01000	0.02520	0.53850
TH	2016	0.93000	0.94000	0.01000	0.02790	0.56640
TH	2016	0.94000	0.95000	0.01000	0.03150	0.59790
TH	2016	0.95000	0.96000	0.01000	0.03610	0.63400
TH	2016	0.96000	0.97000	0.01000	0.04210	0.67610
TH	2016	0.97000	0.98000	0.01000	0.05150	0.72760
TH	2016	0.98000	0.99000	0.01000	0.07010	0.79770
TH	2016	0.99000	0.99100	0.00100	0.00890	0.80660
TH	2016	0.99100	0.99200	0.00100	0.00940	0.81600
TH	2016	0.99200	0.99300	0.00100	0.01010	0.82610
TH	2016	0.99300	0.99400	0.00100	0.01090	0.83700
TH	2016	0.99400	0.99500	0.00100	0.01190	0.84890
