country	year	low	high	width	share	cumul	# sptinc992j
XM	2016	0.00000	0.01000	0.01000	0.00000	0.00000
XM	2016	0.01000	0.02000	0.01000	0.00030	0.00030
XM	2016	0.02000	0.03000	0.01000	0.00040	0.00070
XM	2016	0.03000	0.04000	0.01000	0.00050	0.00120
XM	2016	0.04000	0.05000	0.01000	0.00060	0.00180
XM	2016	0.05000	0.06000	0.01000	0.00070	0.00250
XM	2016	0.06000	0.07000	0.01000	0.00080	0.00330
XM	2016	0.07000	0.08000	0.01000	0.00090	0.00420
XM	2016	0.08000	0.09000	0.01000	0.00100	0.00520
XM	2016	0.09000	0.10000	0.01000	0.00100	0.00620
XM	2016	0.10000	0.11000	0.01000	0.00110	0.00730
XM	2016	0.11000	0.12000	0.01000	0.00120	0.00850
XM	2016	0.12000	0.13000	0.01000	0.00120	0.00970
XM	2016	0.13000	0.14000	0.01000	0.00130	0.01100
XM	2016	0.14000	0.15000	0.01000	0.00130	0.01230
XM	2016	0.15000	0.16000	0.01000	0.00140	0.01370
XM	2016	0.16000	0.17000	0.01000	0.00140	0.01510
XM	2016	0.17000	0.18000	0.01000	0.00150	0.01660
XM	2016	0.18000	0.19000	0.01000	0.00150	0.01810
XM	2016	0.19000	0.20000	0.01000	0.00150	0.01960
XM	2016	0.20000	0.21000	0.01000	0.00160	0.02120
XM	2016	0.21000	0.22000	0.01000	0.00170	0.02290
XM	2016	0.22000	0.23000	0.01000	0.00170	0.02460
XM	2016	0.23000	0.24000	0.01000	0.00180	0.02640
XM	2016	0.24000	0.25000	0.01000	0.00190	0.02830
XM	2016	0.25000	0.26000	0.01000	0.00190	0.03020
XM	2016	0.26000	0.27000	0.01000	0.00200	0.03220
XM	2016	0.27000	0.28000	0.01000	0.00200	0.03420
XM	2016	0.28000	0.29000	0.01000	0.00210	0.03630
XM	2016	0.29000	0.30000	0.01000	0.00210	0.03840
XM	2016	0.30000	0.31000	0.01000	0.00220	0.04060
XM	2016	0.31000	0.32000	0.01000	0.00220	0.04280
XM	2016	0.32000	0.33000	0.01000	0.00230	0.04510
XM	2016	0.33000	0.34000	0.01000	0.00240	0.04750
XM	2016	0.34000	0.35000	0.01000	0.00240	0.04990
XM	2016	0.35000	0.36000	0.01000	0.00250	0.05240
XM	2016	0.36000	0.37000	0.01000	0.00260	0.05500
XM	2016	0.37000	0.38000	0.01000	0.00260	0.05760
XM	2016	0.38000	0.39000	0.01000	0.00270	0.06030
XM	2016	0.39000	0.40000	0.01000	0.00270	0.06300
XM	2016	0.40000	0.41000	0.01000	0.00280	0.06580
XM	2016	0.41000	0.42000	0.01000	0.00290	0.06870
XM	2016	0.42000	0.43000	0.01000	0.00300	0.07170
XM	2016	0.43000	0.44000	0.01000	0.00300	0.07470
XM	2016	0.44000	0.45000	0.01000	0.00310	0.07780
XM	2016	0.45000	0.46000	0.01000	0.00320	0.08100
XM	2016	0.46000	0.47000	0.01000	0.00320	0.08420
XM	2016	0.47000	0.48000	0.01000	0.00330	0.08750
XM	2016	0.48000	0.49000	0.01000	0.00330	0.09080
XM	2016	0.49000	0.50000	0.01000	0.00340	0.09420
XM	2016	0.50000	0.51000	0.01000	0.00340	0.09760
XM	2016	0.51000	0.52000	0.01000	0.00350	0.10110
XM	2016	0.52000	0.53000	0.01000	0.00350	0.10460
XM	2016	0.53000	0.54000	0.01000	0.00360	0.10820
XM	2016	0.54000	0.55000	0.01000	0.00370	0.11190
XM	2016	0.55000	0.56000	0.01000	0.00370	0.11560
XM	2016	0.56000	0.57000	0.01000	0.00380	0.11940
XM	2016	0.57000	0.58000	0.01000	0.00390	0.12330
XM	2016	0.58000	0.59000	0.01000	0.00400	0.12730
XM	2016	0.59000	0.60000	0.01000	0.00420	0.13150
XM	2016	0.60000	0.61000	0.01000	0.00420	0.13570
XM	2016	0.61000	0.62000	0.01000	0.00440	0.14010
XM	2016	0.62000	0.63000	0.01000	0.00450	0.14460
XM	2016	0.63000	0.64000	0.01000	0.00460	0.14920
